area,date,waste_type,weight
Boralesgamuwa UC,2012-01-01,MSW,17340
Boralesgamuwa UC,2012-01-02,MSW,25980
Boralesgamuwa UC,2012-01-03,MSW,29220
Boralesgamuwa UC,2012-01-04,MSW,7450
Boralesgamuwa UC,2012-01-05,MSW,10520
Boralesgamuwa UC,2012-01-06,MSW,29260
Boralesgamuwa UC,2012-01-07,MSW,11820
Boralesgamuwa UC,2012-01-08,MSW,20680
Boralesgamuwa UC,2012-01-09,MSW,23940
Boralesgamuwa UC,2012-01-10,MSW,23330
Boralesgamuwa UC,2012-01-11,MSW,21590
Boralesgamuwa UC,2012-01-12,MSW,25340
Boralesgamuwa UC,2012-01-13,MSW,22270
Boralesgamuwa UC,2012-01-14,MSW,15710
Boralesgamuwa UC,2012-01-15,MSW,11870
Boralesgamuwa UC,2012-01-16,MSW,23560
Boralesgamuwa UC,2012-01-17,MSW,22890
Boralesgamuwa UC,2012-01-18,MSW,27120
Boralesgamuwa UC,2012-01-19,MSW,30750
Boralesgamuwa UC,2012-01-20,MSW,20460
Boralesgamuwa UC,2012-01-21,MSW,17470
Boralesgamuwa UC,2012-01-22,MSW,10640
Boralesgamuwa UC,2012-01-23,MSW,21490
Boralesgamuwa UC,2012-01-24,MSW,16470
Boralesgamuwa UC,2012-01-25,MSW,21840
Boralesgamuwa UC,2012-01-26,MSW,32950
Boralesgamuwa UC,2012-01-27,MSW,25050
Boralesgamuwa UC,2012-01-28,MSW,17420
Boralesgamuwa UC,2012-01-29,MSW,11400
Boralesgamuwa UC,2012-01-30,MSW,22230
Boralesgamuwa UC,2012-01-31,MSW,22400
Boralesgamuwa UC,2012-02-01,MSW,17780
Boralesgamuwa UC,2012-02-02,MSW,29190
Boralesgamuwa UC,2012-02-03,MSW,24360
Boralesgamuwa UC,2012-02-04,MSW,27120
Boralesgamuwa UC,2012-02-05,MSW,42200
Boralesgamuwa UC,2012-02-06,MSW,7420
Boralesgamuwa UC,2012-02-07,MSW,25930
Boralesgamuwa UC,2012-02-08,MSW,35470
Boralesgamuwa UC,2012-02-09,MSW,11740
Boralesgamuwa UC,2012-02-10,MSW,32830
Boralesgamuwa UC,2012-02-11,MSW,34760
Boralesgamuwa UC,2012-02-12,MSW,7300
Boralesgamuwa UC,2012-02-13,MSW,21390
Boralesgamuwa UC,2012-02-14,MSW,24330
Boralesgamuwa UC,2012-02-15,MSW,30060
Boralesgamuwa UC,2012-02-16,MSW,32760
Boralesgamuwa UC,2012-02-17,MSW,30310
Boralesgamuwa UC,2012-02-18,MSW,17980
Boralesgamuwa UC,2012-02-19,MSW,12360
Boralesgamuwa UC,2012-02-20,MSW,19970
Boralesgamuwa UC,2012-02-21,MSW,24880
Boralesgamuwa UC,2012-02-22,MSW,32840
Boralesgamuwa UC,2012-02-23,MSW,23340
Boralesgamuwa UC,2012-02-24,MSW,23580
Boralesgamuwa UC,2012-02-25,MSW,13570
Boralesgamuwa UC,2012-02-26,MSW,7470
Boralesgamuwa UC,2012-02-27,MSW,24290
Boralesgamuwa UC,2012-02-28,MSW,33100
Boralesgamuwa UC,2012-02-29,MSW,29940
Boralesgamuwa UC,2012-03-01,MSW,30020
Boralesgamuwa UC,2012-03-02,MSW,22590
Boralesgamuwa UC,2012-03-03,MSW,15700
Boralesgamuwa UC,2012-03-04,MSW,26990
Boralesgamuwa UC,2012-03-05,MSW,37440
Boralesgamuwa UC,2012-03-06,MSW,21330
Boralesgamuwa UC,2012-03-07,MSW,24420
Boralesgamuwa UC,2012-03-08,MSW,18020
Boralesgamuwa UC,2012-03-09,MSW,30020
Boralesgamuwa UC,2012-03-10,MSW,31170
Boralesgamuwa UC,2012-03-11,MSW,34820
Boralesgamuwa UC,2012-03-12,MSW,24110
Boralesgamuwa UC,2012-03-13,MSW,30190
Boralesgamuwa UC,2012-03-14,MSW,27770
Boralesgamuwa UC,2012-03-15,MSW,27160
Boralesgamuwa UC,2012-03-16,MSW,24740
Boralesgamuwa UC,2012-03-17,MSW,13850
Boralesgamuwa UC,2012-03-18,MSW,6580
Boralesgamuwa UC,2012-03-19,MSW,28260
Boralesgamuwa UC,2012-03-20,MSW,22660
Boralesgamuwa UC,2012-03-21,MSW,28270
Boralesgamuwa UC,2012-03-22,MSW,26820
Boralesgamuwa UC,2012-03-23,MSW,26250
Boralesgamuwa UC,2012-03-24,MSW,19170
Boralesgamuwa UC,2012-03-25,MSW,8920
Boralesgamuwa UC,2012-03-26,MSW,26270
Boralesgamuwa UC,2012-03-27,MSW,30050
Boralesgamuwa UC,2012-03-28,MSW,28410
Boralesgamuwa UC,2012-03-29,MSW,29450
Boralesgamuwa UC,2012-03-30,MSW,22790
Boralesgamuwa UC,2012-03-31,MSW,20560
Boralesgamuwa UC,2012-04-01,MSW,35210
Boralesgamuwa UC,2012-04-02,MSW,14470
Boralesgamuwa UC,2012-04-03,MSW,11380
Boralesgamuwa UC,2012-04-04,MSW,24370
Boralesgamuwa UC,2012-04-05,MSW,36350
Boralesgamuwa UC,2012-04-06,MSW,8200
Boralesgamuwa UC,2012-04-07,MSW,41000
Boralesgamuwa UC,2012-04-08,MSW,24010
Boralesgamuwa UC,2012-04-09,MSW,13120
Boralesgamuwa UC,2012-04-10,MSW,25290
Boralesgamuwa UC,2012-04-11,MSW,16600
Boralesgamuwa UC,2012-04-12,MSW,34750
Boralesgamuwa UC,2012-04-13,MSW,8940
Boralesgamuwa UC,2012-04-14,MSW,3810
Boralesgamuwa UC,2012-04-15,MSW,10750
Boralesgamuwa UC,2012-04-16,MSW,19090
Boralesgamuwa UC,2012-04-17,MSW,31020
Boralesgamuwa UC,2012-04-18,MSW,31470
Boralesgamuwa UC,2012-04-19,MSW,33350
Boralesgamuwa UC,2012-04-20,MSW,30740
Boralesgamuwa UC,2012-04-21,MSW,23160
Boralesgamuwa UC,2012-04-22,MSW,8110
Boralesgamuwa UC,2012-04-23,MSW,26720
Boralesgamuwa UC,2012-04-24,MSW,14320
