Source.Name,area,ticket_date,waste_type,net_weight_kg
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/1/2012,MSW,17340
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/2/2012,MSW,25980
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/3/2012,MSW,29220
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/4/2012,MSW,7450
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/5/2012,MSW,10520
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/6/2012,MSW,29260
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/7/2012,MSW,11820
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/8/2012,MSW,20680
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/9/2012,MSW,23940
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/10/2012,MSW,23330
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/11/2012,MSW,21590
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/12/2012,MSW,25340
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/13/2012,MSW,22270
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/14/2012,MSW,15710
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/15/2012,MSW,11870
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/16/2012,MSW,23560
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/17/2012,MSW,22890
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/18/2012,MSW,27120
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/19/2012,MSW,30750
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/20/2012,MSW,20460
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/21/2012,MSW,17470
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/22/2012,MSW,10640
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/23/2012,MSW,21490
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/24/2012,MSW,16470
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/25/2012,MSW,21840
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/26/2012,MSW,32950
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/27/2012,MSW,25050
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/28/2012,MSW,17420
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/29/2012,MSW,11400
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/30/2012,MSW,22230
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,1/31/2012,MSW,22400
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/1/2012,MSW,17780
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/2/2012,MSW,29190
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/3/2012,MSW,24360
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/4/2012,MSW,27120
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/5/2012,MSW,42200
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/6/2012,MSW,7420
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/7/2012,MSW,25930
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/8/2012,MSW,35470
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/9/2012,MSW,11740
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/10/2012,MSW,32830
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/11/2012,MSW,34760
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/12/2012,MSW,7300
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/13/2012,MSW,21390
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/14/2012,MSW,24330
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/15/2012,MSW,30060
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/16/2012,MSW,32760
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/17/2012,MSW,30310
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/18/2012,MSW,17980
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/19/2012,MSW,12360
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/20/2012,MSW,19970
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/21/2012,MSW,24880
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/22/2012,MSW,32840
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/23/2012,MSW,23340
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/24/2012,MSW,23580
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/25/2012,MSW,13570
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/26/2012,MSW,7470
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/27/2012,MSW,24290
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/28/2012,MSW,33100
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,2/29/2012,MSW,29940
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/1/2012,MSW,30020
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/2/2012,MSW,22590
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/3/2012,MSW,15700
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/4/2012,MSW,26990
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/5/2012,MSW,37440
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/6/2012,MSW,21330
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/7/2012,MSW,24420
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/8/2012,MSW,18020
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/9/2012,MSW,30020
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/10/2012,MSW,31170
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/11/2012,MSW,34820
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/12/2012,MSW,24110
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/13/2012,MSW,30190
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/14/2012,MSW,27770
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/15/2012,MSW,27160
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/16/2012,MSW,24740
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/17/2012,MSW,13850
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/18/2012,MSW,6580
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/19/2012,MSW,28260
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/20/2012,MSW,22660
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/21/2012,MSW,28270
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/22/2012,MSW,26820
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/23/2012,MSW,26250
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/24/2012,MSW,19170
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/25/2012,MSW,8920
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/26/2012,MSW,26270
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/27/2012,MSW,30050
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/28/2012,MSW,28410
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/29/2012,MSW,29450
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/30/2012,MSW,22790
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,3/31/2012,MSW,20560
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/1/2012,MSW,35210
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/2/2012,MSW,14470
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/3/2012,MSW,11380
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/4/2012,MSW,24370
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/5/2012,MSW,36350
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/6/2012,MSW,8200
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/7/2012,MSW,41000
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/8/2012,MSW,24010
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/9/2012,MSW,13120
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/10/2012,MSW,25290
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/11/2012,MSW,16600
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/12/2012,MSW,34750
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/13/2012,MSW,8940
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/14/2012,MSW,3810
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/15/2012,MSW,10750
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/16/2012,MSW,19090
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/17/2012,MSW,31020
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/18/2012,MSW,31470
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/19/2012,MSW,33350
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/20/2012,MSW,30740
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/21/2012,MSW,23160
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/22/2012,MSW,8110
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/23/2012,MSW,26720
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/24/2012,MSW,14320
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/25/2012,MSW,33520
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/26/2012,MSW,34100
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/27/2012,MSW,41100
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/28/2012,MSW,28350
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/29/2012,MSW,5570
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,4/30/2012,MSW,29830
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/1/2012,MSW,28590
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/2/2012,MSW,10280
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/3/2012,MSW,26560
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/4/2012,MSW,23800
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/5/2012,MSW,11480
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/6/2012,MSW,36710
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/7/2012,MSW,31880
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/8/2012,MSW,9740
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/9/2012,MSW,28260
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/10/2012,MSW,27110
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/11/2012,MSW,29740
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/12/2012,MSW,27620
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/13/2012,MSW,11680
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/14/2012,MSW,24510
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/15/2012,MSW,29740
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/16/2012,MSW,25230
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/17/2012,MSW,30690
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/18/2012,MSW,26930
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/19/2012,MSW,18030
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/20/2012,MSW,4870
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/21/2012,MSW,29960
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/22/2012,MSW,32310
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/23/2012,MSW,30250
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/24/2012,MSW,31680
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/25/2012,MSW,23510
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/26/2012,MSW,28700
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/27/2012,MSW,7690
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/28/2012,MSW,30070
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/29/2012,MSW,28740
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/30/2012,MSW,29680
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,5/31/2012,MSW,37080
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/1/2012,MSW,25530
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/2/2012,MSW,22690
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/3/2012,MSW,28180
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/4/2012,MSW,24730
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/5/2012,MSW,7490
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/6/2012,MSW,31910
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/7/2012,MSW,33710
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/8/2012,MSW,21950
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/9/2012,MSW,26670
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/10/2012,MSW,18980
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/11/2012,MSW,30980
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/12/2012,MSW,23610
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/13/2012,MSW,32490
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/14/2012,MSW,26030
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/15/2012,MSW,25410
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/16/2012,MSW,23490
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/17/2012,MSW,12880
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/18/2012,MSW,29080
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/19/2012,MSW,30200
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/20/2012,MSW,30790
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/21/2012,MSW,28670
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/22/2012,MSW,34460
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/23/2012,MSW,17390
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/24/2012,MSW,13690
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/25/2012,MSW,28090
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/26/2012,MSW,35700
boralasgamuwa_2012-2018.csv,Boralesgamuwa UC,6/27/2012,MSW,25730
